,vendor_id,vendor_rating2,favorite_by,rated_by,favorite_percentage,rated_percentage,average_price,average_item_sold,latitude,longitude,vendor_category_id,delivery_charge,prepration_time,discount_percentage,status,verified,rank,vendor_rating,one_click_vendor,city_id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52,tag_53,tag_54,tag_55,tag_56,tag_57,tag_58,tag_59,tag_60,tag_61,tag_62,tag_63,tag_64,tag_65,tag_66,tag_67,tag_68,tag_69,tag_70,tag_71,tag_72,tag_73,tag_74,tag_75,tag_76,tag_77,tag_78,tag_79,tag_80,tag_81,tag_82,tag_83,tag_84,tag_85,tag_86,tag_87,tag_88,tag_89,tag_90,tag_91
0,4,3.9266666666666667,14.958666666666668,17,0.3783783783783784,0.11333333333333333,3.9266666666666667,2.5977411341955543,-0.588596153846155,0.7544340909088447,2.0,0.0,15,0.0,1.0,1,11,4.4,Y,1.0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13,3.7818181818181817,18.61818181818182,4,0.34545454545454546,0.07272727272727272,3.7818181818181817,2.1385988872454518,-0.4716538461538806,0.7444704545454467,2.0,0.7,14,0.0,1.0,1,11,4.7,Y,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,3.9910714285714284,21.300892857142863,17,0.3181818181818182,0.15178571428571427,3.9910714285714284,2.603946914856397,-0.4075269230769129,0.6436806818179458,2.0,0.0,19,0.0,1.0,1,1,4.5,Y,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,23,4.27536231884058,20.766666666666673,8,0.36231884057971014,0.11594202898550725,4.27536231884058,2.2988831709927515,-0.5853846153845947,0.7538113636363009,2.0,0.0,16,0.0,1.0,1,11,4.5,Y,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28,3.700854700854701,13.302564102564103,21,0.14782608695652175,0.1794871794871795,3.700854700854701,3.05499494186111,0.4806019230769256,0.5528504545454149,2.0,0.7,10,0.0,1.0,1,11,4.4,Y,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33,3.911111111111111,21.55703703703704,24,0.2781954887218045,0.17777777777777778,3.911111111111111,3.1958104310944435,-0.4946538461538846,0.7433181818182409,2.0,0.7,17,0.0,1.0,1,11,4.6,Y,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,43,3.5625,12.598750000000003,6,0.3670886075949367,0.075,3.5625,3.3976433674906246,-0.11500961538461092,0.5459734090908435,2.0,0.7,15,0.0,1.0,1,11,4.3,Y,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,44,3.642105263157895,11.035789473684211,17,0.13829787234042554,0.17894736842105263,3.642105263157895,2.7179752238543857,-0.9365557692307772,0.08193295454534594,2.0,0.7,14,0.0,1.0,1,11,4.3,Y,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,55,2.9344262295081966,13.45737704918032,6,0.23333333333333334,0.09836065573770492,2.9344262295081966,2.9378302666584695,-1.1701538461538554,0.10347727272711042,2.0,0.7,19,0.0,1.0,1,11,4.5,Y,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,66,4.142857142857143,23.4595238095238,3,0.3333333333333333,0.07142857142857142,4.142857142857143,4.143312277748014,0.4874884615383899,0.5650499999999972,2.0,0.0,20,10.0,1.0,1,1,4.0,Y,1.0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67,4.14,20.522,11,0.061224489795918366,0.22,4.14,3.0120764626616663,-0.18103846153852332,0.4905181818181887,2.0,0.0,15,0.0,1.0,1,11,4.3,Y,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,75,4.195121951219512,21.367073170731704,9,0.45121951219512196,0.10975609756097561,4.195121951219512,2.770824954465447,-0.6004230769230746,0.7559090909091579,2.0,0.7,15,0.0,1.0,1,11,4.6,Y,1.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,76,3.8358208955223883,13.695522388059704,11,0.22727272727272727,0.16417910447761194,3.8358208955223883,2.549424916406716,0.2563346153846161,0.5766695454543093,2.0,0.7,15,0.0,1.0,1,11,4.6,Y,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78,4.172307692307692,12.947692307692305,4,0.2826086956521739,0.012307692307692308,4.172307692307692,2.676931157087434,-0.5554038461538193,0.19633636363636345,2.0,0.7,17,0.0,0.0,1,11,4.4,Y,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,79,3.8142857142857145,13.078809523809536,88,0.03365384615384615,0.20952380952380953,3.8142857142857145,2.5805034985696427,0.6346538461538463,0.5272545454546894,2.0,0.0,15,0.0,1.0,1,11,4.7,Y,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,81,4.076923076923077,17.541538461538455,2,0.328125,0.03076923076923077,4.076923076923077,2.8217737312666653,-0.7119615384615503,0.0633681818179358,2.0,0.0,15,0.0,1.0,1,11,3.8,Y,1.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,82,3.9272727272727272,16.29454545454545,20,0.05454545454545454,0.36363636363636365,3.9272727272727272,2.338251329692424,-0.4171923076923129,0.6458500000000037,2.0,0.7,11,0.0,1.0,1,11,4.4,Y,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,83,4.191056910569106,17.192276422764227,2,0.35365853658536583,0.008130081300813009,4.191056910569106,2.1966653953451876,-0.927944230769241,0.14589954545430453,2.0,0.7,15,0.0,1.0,1,11,4.2,Y,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,84,3.937669376693767,15.826829268292682,54,0.021798365122615803,0.14634146341463414,3.937669376693767,2.136064082022132,-1.004923076923082,0.07873636363634817,2.0,0.0,14,0.0,1.0,1,11,4.3,Y,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,85,3.777142857142857,11.848000000000003,7,0.3942857142857143,0.04,3.777142857142857,1.8130520510161883,-0.6001730769230909,0.7558613636363735,3.0,0.0,15,50.0,1.0,1,11,4.6,Y,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,86,3.301980198019802,9.864851485148517,32,0.009900990099009901,0.15841584158415842,3.301980198019802,1.6317020947182344,-0.4981346153846109,0.058017272727297724,3.0,0.0,13,0.0,1.0,1,11,4.5,Y,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,90,3.884297520661157,14.472727272727273,19,0.3050847457627119,0.15702479338842976,3.884297520661157,2.600189576847107,-0.6010961538461602,0.0959977272724904,2.0,0.0,14,0.0,1.0,1,1,4.4,Y,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,92,3.9322033898305087,34.45762711864406,24,0.3389830508474576,0.2033898305084746,3.9322033898305087,2.5087985706002818,-0.4921884615384525,0.7441604545452798,2.0,0.7,14,0.0,1.0,1,11,4.6,Y,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,104,4.105769230769231,16.69423076923077,13,0.46601941747572817,0.125,4.105769230769231,2.892601779467948,-0.03244230769231637,0.6556363636363828,2.0,0.0,10,0.0,1.0,1,11,4.5,Y,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,105,3.2524038461538463,13.619711538461539,54,0.1951219512195122,0.12980769230769232,3.2524038461538463,2.2959028325170268,-0.9677692307692346,0.0808386363635615,2.0,0.0,12,0.0,1.0,1,11,4.5,Y,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,106,3.826388888888889,15.502777777777773,20,0.2887323943661972,0.1388888888888889,3.826388888888889,2.905661753696759,0.6186153846153633,0.5271931818182224,2.0,0.0,10,0.0,1.0,1,11,4.5,Y,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,110,4.197802197802198,33.61868131868132,15,0.42857142857142855,0.16483516483516483,4.197802197802198,2.5606496226968853,0.01679230769225694,0.5479409090910177,2.0,0.7,18,35.0,1.0,1,11,4.6,Y,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,113,4.058098591549296,14.369542253521129,55,0.392226148409894,0.09683098591549295,4.058098591549296,1.8378645206449526,0.6301346153846158,0.5270522727271684,2.0,0.0,10,0.0,1.0,1,11,4.7,Y,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,115,3.875,11.852500000000003,5,0.46153846153846156,0.125,3.875,2.195286734981248,0.5788653846154262,0.5282704545454561,2.0,0.0,13,0.0,1.0,1,11,4.8,Y,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,134,3.9805825242718447,26.187378640776704,12,0.36893203883495146,0.11650485436893204,3.9805825242718447,2.0507452614716817,-0.056273076923028055,0.6322886363636278,2.0,0.0,16,0.0,0.0,0,11,4.5,Y,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,145,3.4155844155844157,9.58311688311688,6,0.22077922077922077,0.07792207792207792,3.4155844155844157,2.3224751307099547,-0.6058922840442468,0.07295305960363639,2.0,0.0,10,0.0,0.0,0,11,3.2,Y,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
